sex,Age,Married,Number_children,education_level,total_members,income,Happy?,gained_asset,durable_asset,save_asset,Total Asset,living_expenses,other_expenses,Total Expenses,depressed
1,26,1,5,8,7,10743644,0,42236978,19698904,23399979,85335861,10676913,16976292,27653205,0
1,49,0,1,14,2,33365355,0,82606287,17616907,19218445,119441639,24690363,19762967,44453330,0
1,20,1,1,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,48,0,5,9,6,19351906,1,17142671,12235743,23399979,52778393,26692283,18097368,44789651,1
1,28,1,3,10,7,80076847,0,28912201,17696983,23399979,70009163,46711496,10217806,56929302,0
1,21,1,1,10,3,26692283,0,27572495,27226129,23399979,78198603,30696127,26905821,57601948,0
1,42,1,0,9,3,11184067,0,52253772,26745667,12812296,91811735,62193022,57735409,119928431,0
1,46,0,0,1,1,64061481,0,22375139,52690567,22421518,97487224,34032662,90486841,124519503,0
1,24,1,2,9,4,84080696,0,61954716,16175523,23399979,101530218,77407622,45355526,122763148,0
1,30,1,2,10,4,50181494,0,41303146,16335678,32030739,89669563,48179574,41736053,89915627,0
1,45,1,4,9,4,66730708,0,49563774,20163351,17671359,87398484,15614985,2234144,17849129,0
1,25,1,4,10,6,66063399,1,20651573,35393967,24023054,80068594,3203074,3411274,6614348,1
0,19,1,1,10,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,45,1,3,8,5,13346142,0,28912201,96092216,23399979,148404396,21353827,19218444,40572271,0
1,40,0,1,5,3,50715337,0,28912201,18337599,23399979,70649779,46711496,14894294,61605790,0
0,37,0,0,12,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,21,1,1,7,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,30,1,6,7,8,21353827,1,6712542,28347205,23399979,58459726,66730708,34593201,101323909,1
1,25,1,1,7,3,30028818,0,28912201,25224208,23399979,77536388,93422991,481422,93904413,0
1,38,1,3,13,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,48,1,0,1,2,30028818,1,28912201,86162689,23399979,138474869,23355746,28026898,51382644,1
1,30,1,4,11,6,22021134,0,82606287,20980135,23399979,126986401,12411911,3203074,15614985,0
1,26,1,5,9,7,85415304,0,22925111,24791792,23399979,71116882,23355746,32911587,56267333,0
1,37,1,8,10,10,30028818,0,13080371,16816139,23399979,53296489,16082102,20819981,36902083,0
0,28,1,1,10,3,72069163,1,41303144,41800116,23399979,106503239,20286135,36354889,56641024,1
0,30,0,2,10,3,56053793,0,41303144,44202423,23399979,108905546,10009606,11531066,21540672,0
0,25,1,1,8,3,13346142,1,28912201,12091605,23399979,64403785,26692283,172966,26865249,1
1,55,1,2,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,38,1,5,8,7,10943837,0,28912201,44042267,23399979,96354447,80076849,13933372,94010221,0
1,43,1,5,8,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,32,0,2,10,3,10276529,0,16521257,31229971,40038424,87789652,10143068,30669434,40812502,0
1,23,1,3,8,5,26692283,0,28912201,64862251,12812296,106586748,12011528,22581671,34593199,0
1,35,1,2,6,4,12812296,1,67399603,27786667,32030739,127217009,3203074,17937214,21140288,1
1,22,1,3,7,6,48179574,0,21617699,13452911,23399979,58470589,15267985,99295292,114563277,0
1,52,1,3,1,7,53384566,0,41823944,12812296,23399979,78036219,26692283,70467629,97159912,0
0,43,0,0,6,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,25,1,2,10,5,14747486,0,99127548,29067896,3203074,131398518,16682677,45884033,62566710,0
1,40,0,2,10,4,80076847,0,57824402,16287631,25624592,99736625,66730708,3763612,70494320,0
1,20,1,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,2,9,4,93422985,0,75386055,18657906,23399979,117443940,13346142,5925687,19271829,0
1,32,0,3,7,5,10096356,1,28912201,87283768,32030739,148226708,10863759,24807808,35671567,1
1,22,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,22,1,1,12,3,13346142,0,28912201,37828305,23399979,90140485,10676913,13933372,24610285,0
1,39,0,6,9,7,3203074,0,99127548,33071738,44843035,177042321,34032662,39718117,73750779,0
1,24,1,2,4,4,86749923,1,16521257,20259444,1601537,38382238,24690363,24263285,48953648,1
1,31,0,3,10,5,48046112,0,36350497,44843036,23399979,104593512,14013449,30108896,44122345,0
1,23,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,23,1,2,8,4,12812296,0,19207828,14557971,23399979,57165778,51382647,34593201,85975848,0
0,42,0,3,14,4,40038424,1,16521257,11739266,23399979,51660502,14547294,11611143,26158437,1
1,48,1,7,4,9,20085943,1,59411945,26905823,23399979,109717747,93422985,5925687,99348672,1
0,25,1,0,10,2,42707653,0,28912201,67264557,23399979,119576737,80076849,43241501,123318350,0
1,26,1,5,7,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,17,1,2,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,33,1,7,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,19,1,3,11,7,30028818,0,96143182,17136445,23399979,136679606,17383348,79756546,97139894,0
1,45,1,6,11,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,57,0,0,6,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,52,1,2,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,28,1,4,9,6,25624592,1,17142671,46444572,23399979,86987222,26692283,22101212,48793495,1
1,27,1,2,18,4,21353827,1,57824402,38677118,23399979,119901499,13346142,44010239,57356381,1
1,37,1,4,9,7,56053796,1,86736603,60538097,23399979,170674679,41373043,24631639,66004682,1
1,35,1,8,10,10,50715339,0,35111401,24026257,23399979,82537637,35367274,65983322,101350596,0
1,36,0,7,10,10,64595327,0,40067783,29180005,12812296,82060084,20019212,2898782,22917994,0
0,53,0,0,8,1,32698047,0,90183739,10201791,23399979,123785509,73403776,2057975,75461751,0
1,43,1,6,13,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,39,1,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,5,9,7,29628434,0,6608503,49887878,23399979,79896360,40038425,12684173,52722598,0
1,25,1,3,10,5,30028818,0,28912201,32030739,23399979,84342919,1601537,49199215,50800752,0
1,19,1,2,12,4,36034582,0,26505453,96092216,23399979,145997648,32698047,1145099,33843146,0
1,27,1,4,10,7,16682676,0,81923103,10570144,48046112,140539359,30295742,41239578,71535320,0
1,28,0,3,9,4,45376883,0,24781887,18737982,23399979,66919848,18684598,16848169,35532767,0
1,25,1,2,9,4,42707653,0,16521257,10679049,23399979,50600285,10276529,80076847,90353376,0
1,48,0,4,9,8,74738393,1,82606287,52850719,23399979,158856985,60057635,20980135,81037770,1
1,27,1,1,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,24,1,1,10,3,37369196,0,82606287,98494522,23399979,204500788,1134422,10970528,12104950,0
1,63,1,0,1,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,45,0,0,7,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,18,1,2,10,3,30028818,0,26505453,7527224,35233814,69266491,45376882,52930798,98307680,0
1,62,1,3,9,5,3203074,0,17142671,45163342,23399979,85705992,73403783,23542593,96946376,0
1,60,0,1,1,2,16015369,0,33042515,37475967,23399979,93918461,62726867,27706591,90433458,0
1,26,1,2,8,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
0,30,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,32,1,6,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,69,0,1,6,2,16682677,0,28912201,53971798,1601537,84485536,12144989,29292112,41437101,0
1,29,1,5,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,75,0,0,4,1,30028818,0,28912201,28827665,23399979,81139845,26692283,1601537,28293820,0
1,30,1,3,13,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,55,0,2,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,29,1,2,10,4,33365355,1,388964,44122345,22421518,66932827,13346142,85522079,98868221,1
1,23,0,3,8,4,66730708,0,20651573,26265207,23399979,70316759,33365355,12892373,46257728,0
1,74,1,4,1,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,24,1,2,14,4,30028818,0,28912201,10249837,23399979,62562017,13346142,7703393,21049535,0
1,21,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,19,1,1,9,3,33365355,0,38415656,27386282,23399979,89201917,80076847,3411274,83488121,0
1,46,1,2,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,62,1,7,1,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,34,1,6,10,8,37369196,1,45644662,2857142,80076851,128578655,36034584,47245342,83279926,1
1,20,1,2,7,4,53384566,0,45433456,1712043,20819981,67965480,37369196,55813564,93182760,0
1,34,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,5,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,3,12,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,20,1,3,10,5,40038424,0,75386055,14418638,23399979,113204672,13346142,1473414,14819556,0
1,25,1,4,14,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,69,1,3,7,6,56053796,0,65334448,29212036,16015369,110561853,17883829,31870586,49754415,0
1,48,0,5,8,8,20019212,1,82606287,10810374,23399979,116816640,19351906,93689919,113041825,1
1,37,1,7,10,9,65396094,0,22684436,44602805,18257523,85544764,20019212,21140289,41159501,0
1,22,1,3,9,5,98761451,0,5714122,19570782,23399979,48684883,30028818,81678391,111707209,0
1,19,1,1,10,3,49380727,0,41303144,15775139,23399979,80478262,80076847,39557964,119634811,0
1,40,1,4,10,6,45376883,0,53906201,76073006,23399979,153379186,53384566,19538752,72923318,0
1,26,0,4,10,6,62726865,1,10602181,18337599,23399979,52339759,25357668,13773218,39130886,1
1,27,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,35,1,1,12,3,6406148,1,32805267,58776409,80076847,171658523,23382441,3074951,26457392,1
1,31,1,4,11,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,24,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,29,1,3,11,6,13346142,0,40480811,3002081,23399979,66882871,10676913,21300442,31977355,0
1,63,1,2,10,5,51449375,0,55730682,85361923,23399979,164492584,13346142,67264552,80610694,0
1,85,0,0,3,1,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,43,1,4,14,7,3203074,0,71461902,20819981,23399979,115681862,35233815,10233822,45467637,0
0,34,1,6,9,10,54051876,0,18794797,23222287,23399979,65417063,80076849,45163342,125240191,0
1,52,1,6,7,10,18671253,0,1407879,25944901,56053795,83406575,77007241,51008953,128016194,0
1,48,1,0,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,20,1,6,8,8,30028818,0,28912201,13132603,23399979,65444783,1601537,48846879,50448416,0
1,38,0,1,1,2,64595327,0,82606287,73190239,23399979,179196505,16549217,96092224,112641441,0
1,32,1,2,9,4,77607818,0,10016794,26985898,23399979,60402671,28026898,26905821,54932719,0
1,25,1,3,12,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,35,1,2,10,4,52717257,0,28912201,17696983,23399979,70009163,37369194,57975639,95344833,0
1,44,1,6,9,9,56053796,0,35524435,2746636,23399979,61671050,10943837,24343363,35287200,0
1,40,0,5,5,6,23489211,0,12390944,68866089,1601537,82858570,6005764,10570145,16575909,0
0,53,0,2,8,3,13346142,0,28912201,11931451,23399979,64243631,26692283,33632276,60324559,0
1,47,0,8,4,12,28026898,0,44750278,23975009,23399979,92125266,25357668,19378597,44736265,0
1,25,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,66,0,1,1,2,84080696,0,28912201,49647648,23399979,101959828,2162075,72069163,74231238,0
1,44,0,4,8,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,35,1,4,14,6,30028818,0,89500557,16912231,23399979,129812767,26692283,12251758,38944041,0
1,30,1,5,10,7,18417675,0,7063584,26489423,23399979,56952986,97426834,19218445,116645279,0
1,21,1,2,10,4,1040999,0,28912201,24407423,23399979,76719603,12011528,26505438,38516966,0
1,28,1,4,9,6,20019212,0,28912201,98334373,23399979,150646553,10009606,17616907,27626513,0
1,57,1,1,1,5,65396094,0,82890149,35634198,23399979,141924326,16682677,24023054,40705731,0
1,47,0,1,5,2,9982914,0,68983716,18097368,23399979,110481063,18684598,43401653,62086251,0
1,59,0,1,5,4,18684598,0,26505453,10009606,23399979,59915038,1601537,172966,1774503,0
1,22,1,3,10,5,14680757,0,28912201,13532988,23399979,65845168,53384566,42921192,96305758,0
1,29,1,4,9,6,66730708,0,30635769,74951935,23399979,128987683,53384566,2898782,56283348,0
1,60,0,0,1,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,51,0,2,8,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,29,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,30,1,6,9,8,15348064,0,20206248,15454832,23399979,59061059,21086905,58456101,79543006,0
1,76,0,5,1,7,80076849,0,51428009,14413833,23399979,89241821,10409991,98686707,109096698,0
1,21,1,2,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,28,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,19,1,2,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,38,1,5,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,27,1,3,10,5,41639962,0,20651573,1601537,23399979,45653089,16682677,10602175,27284852,0
1,26,1,1,8,3,21353827,0,12390944,1753683,23399979,37544606,18497753,57495178,75992931,0
1,40,0,1,9,2,28827665,0,24164206,22645734,16015369,62825309,11210759,22261364,33472123,0
1,23,1,2,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,26,1,2,13,4,24023056,1,36350497,32751431,32030739,101132667,21433905,26841761,48275666,1
1,27,1,3,13,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,26,1,2,6,4,80076847,0,21617699,17376677,23399979,62394355,25624592,49487492,75112084,0
1,35,0,0,9,1,33365354,0,78475975,27114023,16015369,121605367,33365355,12652143,46017498,0
1,51,1,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,20,1,2,9,4,53384566,0,12390944,53651489,23399979,89442412,26692283,24023056,50715339,0
1,72,0,5,5,9,24023054,0,20651573,22085196,23399979,66136748,70067245,94490681,164557926,0
1,23,1,2,9,4,10676913,0,37172832,32655341,24023054,93851227,17349985,46925034,64275019,0
1,33,0,3,12,4,98761454,0,41303146,24743747,23399979,89446872,1508114,19298521,20806635,0
1,28,1,2,8,4,16015369,0,12390944,25896854,23399979,61687777,80076847,8664315,88741162,0
1,49,1,4,11,8,21687479,0,20651573,57815485,96092224,174559282,18684598,16655985,35340583,0
1,59,1,6,12,8,8701684,0,5184104,26905823,23399979,55489906,28961128,21220366,50181494,0
1,20,1,3,10,5,22421518,0,19851755,21812933,23399979,65064667,26692283,32671356,59363639,0
1,40,1,5,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,31,1,4,9,6,95024529,0,16521257,16095447,23399979,56016683,40038424,41880192,81918616,0
1,38,0,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,32,0,3,14,5,3203074,0,86736603,21220366,11210759,119167728,33365355,24775778,58141133,0
1,40,0,6,10,8,80076847,0,86736603,17264569,23399979,127401151,66730709,89205612,155936321,0
1,47,1,4,6,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
0,65,0,1,10,3,10676913,0,35524435,21941057,3203074,60668566,26692283,48046112,74738395,0
1,31,1,4,14,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,47,1,4,1,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,25,1,2,10,4,28026897,0,17142671,17072385,23399979,57615035,40038425,32030739,72069164,0
1,22,1,4,8,6,24356709,0,5714122,29628435,23399979,58742536,72069162,19378597,91447759,0
1,27,1,4,9,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,53,1,0,4,3,82479153,0,83646683,26105054,23399979,133151716,24023056,18417675,42440731,0
1,26,1,3,10,5,20553058,0,34285342,33872507,23399979,91557828,44309193,24823824,69133017,0
1,32,1,4,12,6,33365355,0,5714122,16207555,23399979,45321656,66063399,36194736,102258135,0
1,18,1,3,9,4,54719181,0,37172832,80557312,23399979,141130123,26692283,20819981,47512264,0
0,64,0,0,7,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,28,0,4,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,54,1,0,7,2,42707653,0,17968733,18433691,23399979,59802403,56053796,14413833,70467629,0
1,56,0,0,4,1,30028818,1,28912201,1040999,23399979,53353179,69399939,26137083,95537022,1
1,37,1,5,10,7,93422985,1,6712542,14894295,80076847,101683684,13346142,67264557,80610699,1
1,22,1,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,28,1,3,9,5,40038424,0,388964,14782187,48046112,63217263,13613064,23702747,37315811,0
1,35,1,1,8,5,81411467,0,71461603,35313892,23399979,130175474,46711493,22357456,69068949,0
0,43,1,2,10,6,20286135,1,82606293,10563738,1601537,94771568,41373043,34913507,76286550,1
1,27,1,2,10,4,98761454,0,41303144,15887247,23399979,80590370,12011527,14093526,26105053,0
1,62,1,0,8,2,24023056,0,18381764,56053795,23399979,97835538,26692283,92889147,119581430,0
1,70,1,3,6,7,30028818,1,36763528,13132603,23399979,73296110,17349985,59256868,76606853,1
1,32,1,5,9,8,93422991,0,12390944,12491988,23399979,48282911,93422994,68465706,161888700,0
1,38,1,0,7,2,30028818,0,38002625,325112,1601537,39929274,46711496,26745668,73457164,0
1,22,1,4,8,6,30028818,0,82606287,14894295,23399979,120900561,15481524,78315158,93796682,0
1,25,1,3,9,5,36034582,0,19620555,16191539,23399979,59212073,31363432,12411912,43775344,0
1,29,1,6,8,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,49,0,1,6,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,44,1,5,6,9,30028818,0,18381764,16335678,23399979,58117421,10676913,13613065,24289978,0
1,51,1,4,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,40,1,0,8,3,48046112,0,42890683,46684802,23399979,112975464,53384566,12549644,65934210,0
1,31,1,1,10,3,36034582,0,77792801,27130035,23399979,128322815,40038424,14573987,54612411,0
1,39,1,8,10,10,53384566,0,20651573,20707874,96092224,137451671,1414691,26905821,28320512,0
1,45,1,4,9,6,12411911,0,82606287,1470211,23399979,107476477,76073008,12011527,88084535,0
0,73,0,3,10,5,30028818,1,28912201,22861940,23399979,75174120,26692283,28203066,54895349,1
1,21,0,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,42,1,3,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,33,1,2,7,4,51249185,0,28912201,18914153,23399979,71226333,34699969,20611782,55311751,0
1,27,1,4,10,6,22021133,1,28912201,21755278,80076851,130744330,30696125,40358734,71054859,1
1,25,1,0,10,2,23355746,0,30635769,10890452,23399979,64926200,22688441,22741825,45430266,0
1,38,1,3,14,5,43775349,0,6474906,12091605,23399979,41966490,14814217,12732219,27546436,0
1,21,1,5,10,7,30028818,0,28912201,34433044,23399979,86745224,25624592,19138367,44762959,0
1,45,1,7,8,10,64061481,0,5954797,19698904,23399979,49053680,11744605,33632278,45376883,0
1,33,0,6,10,7,12011528,0,28912201,18898137,80076849,127887187,70734549,1040999,71775548,0
1,35,1,4,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,24,1,3,11,5,3203074,0,41303144,15294678,23399979,79997801,40038424,18417675,58456099,0
1,26,1,2,8,3,3203074,0,28912201,18017291,22421518,69351010,26158438,71909012,98067450,0
1,23,0,2,10,3,21887674,0,28912201,97693756,23399979,150005936,73403783,99295292,172699075,0
1,21,1,2,9,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,34,1,1,14,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,23,1,2,10,3,36034582,0,28912201,10970528,23399979,63282708,38169963,41800117,79970080,0
1,26,0,3,5,4,81411467,0,20651573,15855217,23399979,59906769,10676913,88084536,98761449,0
1,36,1,4,8,6,66730709,0,72700995,23462517,80076847,176240359,62459941,89686069,152146010,0
1,20,1,3,10,5,30028818,0,28912201,22861940,23399979,75174120,26692283,28203066,54895349,0
1,23,1,3,10,5,13679795,0,83646683,22741826,2162075,108550584,60591483,55413181,116004664,0
1,32,1,3,9,5,37369196,1,1886281,22245349,96092224,120223854,26692283,26905821,53598104,1
